side,entry_i,exit_i,entry_px,exit_px,hold_h,reason,gross,cost,net,exit_ts
short,7764,7796,64780.0,64714.23529523079,128.0,stop_loss,1.0152007528435942,2.0,-0.9847992471564058,1713499200000
short,7856,7860,62279.0,64123.806912404885,16.0,stop_loss,-29.62165276264688,1.3,-30.921652762646882,1714420800000
short,7864,7882,61212.0,60710.58934190688,72.0,stop_loss,8.191378456726106,1.65,6.541378456726106,1714737600000
long,7967,8002,67200.0,68434.54445740541,140.0,stop_loss,18.371197282818642,2.075,16.296197282818643,1716465600000
long,8027,8029,70408.2,68215.34811870373,8.0,stop_loss,-31.144836557336674,1.25,-32.394836557336674,1716854400000
long,8069,8093,69622.5,70091.60272373696,96.0,stop_loss,6.7378034936544395,1.8,4.93780349365444,1717776000000
short,8116,8122,66903.0,68337.41559810542,24.0,stop_loss,-21.440228362037892,1.35,-22.790228362037894,1718193600000
short,8136,8153,65522.6,66829.66440727265,68.0,stop_loss,-19.94829886592794,1.625,-21.57329886592794,1718640000000
short,8176,8200,63774.6,61711.31664764498,96.0,stop_loss,32.352744703299145,1.8,30.552744703299144,1719316800000
short,8220,8231,60144.5,62108.03262841291,44.0,stop_loss,-32.64691914327846,1.475,-34.12191914327846,1719763200000
short,8248,8268,60393.7,58317.956231066484,80.0,stop_loss,34.37020366252627,1.7,32.67020366252627,1720296000000
long,8317,8369,60789.7,65835.64242072815,208.0,stop_loss,83.00653598764521,2.5,80.50653598764521,1721750400000
long,8387,8394,67574.4,66735.01697461624,28.0,stop_loss,-12.421612702203076,1.375,-13.796612702203076,1722110400000
short,8423,8457,62906.8,57702.59943997542,136.0,stop_loss,82.72874411072543,2.05,80.67874411072543,1723017600000
short,8508,8533,57044.2,60281.48298432844,100.0,stop_loss,-56.75043184633042,1.825,-58.575431846330424,1724112000000
long,8556,8577,63609.7,62550.28644822339,84.0,stop_loss,-16.65490564767016,1.725,-18.37990564767016,1724745600000
short,8624,8656,56665.9,55559.292471645735,128.0,stop_loss,19.528632358336615,2.0,17.528632358336615,1725883200000
long,8681,8694,59658.4,59039.90877453071,52.0,stop_loss,-10.367211079567838,1.525,-11.892211079567838,1726430400000
long,8705,8779,61139.9,64840.93052238056,296.0,stop_loss,60.533800715744626,3.05,57.48380071574463,1727654400000
short,8838,8848,61037.9,62017.954872327085,40.0,stop_loss,-16.056497230853026,1.45,-17.506497230853025,1728648000000
long,8864,8908,64315.1,67820.1820730376,176.0,stop_loss,54.49858700425883,2.3,52.19858700425883,1729512000000
long,8952,8969,69635.9,70398.32679157116,68.0,stop_loss,10.948760503866081,1.625,9.323760503866081,1730390400000
long,9006,9112,75830.2,96010.11462696819,424.0,stop_loss,266.11976002922574,3.8500000000000005,262.2697600292257,1732449600000
long,9142,9161,97259.7,94682.67606721495,76.0,stop_loss,-26.4963179280323,1.675,-28.171317928032302,1733155200000
long,9175,9180,98628.2,97621.7912253959,20.0,stop_loss,-10.204067139054592,1.325,-11.529067139054591,1733428800000
long,9241,9254,104508.0,103330.94545229581,52.0,stop_loss,-11.262817657061552,1.525,-12.787817657061552,1734494400000
short,9268,9272,92733.5,99390.14666305896,16.0,stop_loss,-71.78254528362412,1.3,-73.08254528362411,1734753600000
short,9329,9330,92118.6,94947.29038236183,4.0,stop_loss,-30.707049199204278,1.2249999999999999,-31.93204919920428,1735588800000
long,9354,9376,98597.3,99232.32172626792,88.0,stop_loss,6.440558983541351,1.75,4.690558983541351,1736251200000
short,9412,9414,90870.1,94370.05182395804,8.0,stop_loss,-38.51598957146559,1.25,-39.76598957146559,1736798400000
long,9426,9450,99850.7,102301.6885446147,96.0,stop_loss,24.546533420543962,1.8,22.74653342054396,1737316800000
long,9453,9455,107205.8,100709.19849921463,8.0,stop_loss,-60.59934724413577,1.25,-61.84934724413577,1737388800000
short,9530,9539,99208.1,99786.48170456322,36.0,stop_loss,-5.8299846944273375,1.425,-7.254984694427337,1738598400000
short,9623,9637,95666.2,96899.13545809874,56.0,stop_loss,-12.887889955896043,1.55,-14.437889955896043,1740009600000
short,9665,9691,94329.0,85466.81813159163,104.0,stop_loss,93.94970654208535,1.85,92.09970654208536,1740787200000
short,9743,9760,83062.2,84208.49987884559,68.0,stop_loss,-13.800499852467043,1.625,-15.425499852467043,1741780800000
short,9797,9802,81600.1,84635.97193344012,20.0,stop_loss,-37.20426731634043,1.325,-38.52926731634043,1742385600000
long,9830,9845,86533.6,86015.31373612226,60.0,stop_loss,-5.989422188349314,1.575,-7.564422188349314,1743004800000
short,9872,9874,81540.3,83905.88724089277,8.0,stop_loss,-29.011264870165647,1.25,-30.261264870165647,1743422400000
short,9912,9916,79611.3,79665.28080286889,16.0,stop_loss,-0.6780545333248648,1.3,-1.978054533324865,1744027200000
long,9947,10054,85005.4,92989.52321777827,428.0,stop_loss,93.92489439233603,3.875,90.04989439233603,1746014400000
long,10060,10080,96132.1,94740.16128568364,80.0,stop_loss,-14.479437298429579,1.7,-16.17943729842958,1746388800000
